CODIGO;ABRANGENCIA;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
1108028;São Paulo (RM);Peixe - dourado;179;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
1105013;São Paulo (RM);Agrião;348;179;"1999-08 a 2006-06; 2012-01 a 2019-12"
2103048;São Paulo (RM);Areia;241;175;2012-01 a 2026-07
1201051;São Paulo (RM);Outras bebidas alcoólicas;427;175;2012-01 a 2026-07
2103005;São Paulo (RM);Ferragens;361;175;2012-01 a 2026-07
1108087;São Paulo (RM);Peixe - tambaqui;175;175;2012-01 a 2026-07
4102004;São Paulo (RM);Saia;427;175;2012-01 a 2026-07
1104018;São Paulo (RM);Balas;361;175;2012-01 a 2026-07
2103049;São Paulo (RM);Pedras;175;175;2012-01 a 2026-07
1116001;São Paulo (RM);Leite de coco;258;175;2012-01 a 2026-07
1107097;São Paulo (RM);Capa de filé;241;175;2012-01 a 2026-07
1108049;São Paulo (RM);Peixe - castanha;175;175;2012-01 a 2026-07
6202004;São Paulo (RM);Hospitalização e cirurgia;427;175;2012-01 a 2026-07
5104005;São Paulo (RM);Gás veicular;175;175;2012-01 a 2026-07
6202003;São Paulo (RM);Exame de laboratório;427;169;"1991-01 a 1999-07; 2006-07 a 2011-12"
1104060;São Paulo (RM);Doce de frutas em pasta;252;169;"1991-01 a 1999-07; 2006-07 a 2011-12"
4103024;São Paulo (RM);Saia infantil;169;169;"1991-01 a 1999-07; 2006-07 a 2011-12"
1108016;São Paulo (RM);Peixe - bagre;169;169;"1991-01 a 1999-07; 2006-07 a 2011-12"
3103002;São Paulo (RM);Roupa de mesa;252;169;"1991-01 a 1999-07; 2006-07 a 2011-12"
7201068;São Paulo (RM);Motel;348;169;"1991-01 a 1999-07; 2006-07 a 2011-12"
1104023;São Paulo (RM);Chocolate em barra e bombom;427;169;"1991-01 a 1999-07; 2006-07 a 2011-12"
1102016;São Paulo (RM);Flocos de cereais;252;169;"1991-01 a 1999-07; 2006-07 a 2011-12"
4401001;São Paulo (RM);Tecido;427;162;2006-07 a 2019-12
1115053;São Paulo (RM);Patê;162;162;2006-07 a 2019-12
7201090;São Paulo (RM);Hospedagem;427;162;2006-07 a 2019-12
8101002;São Paulo (RM);Pré-escola;324;162;2006-07 a 2019-12
6101051;São Paulo (RM);Oftalmológico;324;162;"1999-08 a 2006-06; 2020-01 a 2026-07"
1108006;São Paulo (RM);Peixe;162;162;2006-07 a 2019-12
1106051;São Paulo (RM);Morango;162;162;"1999-08 a 2006-06; 2020-01 a 2026-07"
1106023;São Paulo (RM);Pera;427;162;2006-07 a 2019-12
1201009;São Paulo (RM);Cafezinho;427;162;"1999-08 a 2006-06; 2020-01 a 2026-07"
5102019;São Paulo (RM);Lubrificação e lavagem;241;162;2006-07 a 2019-12
1106011;São Paulo (RM);Laranja - baía;265;162;"1999-08 a 2006-06; 2020-01 a 2026-07"
1105006;São Paulo (RM);Couve-flor;348;162;2006-07 a 2019-12
6101005;São Paulo (RM);Hepatoprotetor;186;150;1994-01 a 2006-06
6202013;São Paulo (RM);Radiografia;149;149;1999-08 a 2011-12
5102007;São Paulo (RM);Óleo lubrificante;324;149;1999-08 a 2011-12
6202006;São Paulo (RM);Exame de imagem;324;149;1999-08 a 2011-12
6301012;São Paulo (RM);Talco;149;149;1999-08 a 2011-12
1101049;São Paulo (RM);Feijão - manteiga;149;149;1999-08 a 2011-12
8102002;São Paulo (RM);Assinatura de jornal;149;149;1999-08 a 2011-12
6301020;São Paulo (RM);Artigos de maquiagem;427;149;1999-08 a 2011-12
1115008;São Paulo (RM);Feijoada em conserva;245;149;1999-08 a 2011-12
1201049;São Paulo (RM);Chopp;149;149;1999-08 a 2011-12
7201051;São Paulo (RM);Teatro;149;149;1999-08 a 2011-12
1103021;São Paulo (RM);Chuchu;252;149;1999-08 a 2011-12
2104025;São Paulo (RM);Lata de lixo;149;149;1999-08 a 2011-12
3201008;São Paulo (RM);Máquina de secar roupa;149;149;1999-08 a 2011-12
1111046;São Paulo (RM);Nata;149;149;1999-08 a 2011-12
3201027;São Paulo (RM);Lâmpada;149;149;1999-08 a 2011-12
4401005;São Paulo (RM);Acortinado (mosquiteiro);245;149;1999-08 a 2011-12
7101090;São Paulo (RM);Conselho de classe;149;149;1999-08 a 2011-12
7201006;São Paulo (RM);Clube;348;149;1999-08 a 2011-12
1104066;São Paulo (RM);Doce de leite;149;149;1999-08 a 2011-12
1107010;São Paulo (RM);Outras vísceras;149;149;1999-08 a 2011-12
4301002;São Paulo (RM);Joia;427;149;1999-08 a 2011-12
8104005;São Paulo (RM);Autoescola;241;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
1107093;São Paulo (RM);Músculo;427;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
8101008;São Paulo (RM);Educação de jovens e adultos;145;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
1116095;São Paulo (RM);Molho de soja;145;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
3301002;São Paulo (RM);Conserto de refrigerador;324;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
1105010;São Paulo (RM);Repolho;427;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
1106003;São Paulo (RM);Abacaxi;427;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
4102003;São Paulo (RM);Agasalho feminino;427;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
4101005;São Paulo (RM);Agasalho masculino;427;145;"2006-07 a 2011-12; 2020-01 a 2026-07"
6101016;São Paulo (RM);Material para curativo;252;133;"1994-01 a 1999-07; 2006-07 a 2011-12"
3101017;São Paulo (RM);Colchão;427;115;"1991-01 a 1993-12; 2020-01 a 2026-07"
1106008;São Paulo (RM);Banana - prata;427;103;1991-01 a 1999-07
1105021;São Paulo (RM);Caruru;103;103;1991-01 a 1999-07
1105017;São Paulo (RM);Almeirão;103;103;1991-01 a 1999-07
7101002;São Paulo (RM);Sapateiro;103;103;1991-01 a 1999-07
1108099;São Paulo (RM);Mariscos;103;103;1991-01 a 1999-07
4103017;São Paulo (RM);Fralda;252;103;1991-01 a 1999-07
4201009;São Paulo (RM);Sandália de borracha;103;103;1991-01 a 1999-07
4201028;São Paulo (RM);Guarda-chuva;103;103;1991-01 a 1999-07
1108021;São Paulo (RM);Peixe - galo;169;103;1991-01 a 1999-07
1108001;São Paulo (RM);Filé de peixe;186;103;1991-01 a 1999-07
1106041;São Paulo (RM);Banana-marmelo;103;103;1991-01 a 1999-07
1108044;São Paulo (RM);Peixe cioba;103;103;1991-01 a 1999-07
1104052;São Paulo (RM);Chocolate e achocolatado em pó;427;103;1991-01 a 1999-07
6101008;São Paulo (RM);Anti-hemorrágicos e antianêmicos;103;103;1991-01 a 1999-07
6101011;São Paulo (RM);Hormonal;427;103;1991-01 a 1999-07
6101003;São Paulo (RM);Anti-inflamatório e antirreumático;427;103;1991-01 a 1999-07
5201001;São Paulo (RM);Correio;103;103;1991-01 a 1999-07
5104002;São Paulo (RM);Etanol;427;103;1991-01 a 1999-07
5102004;São Paulo (RM);Emplacamento e licença;427;103;1991-01 a 1999-07
5102010;São Paulo (RM);Pneu;427;103;1991-01 a 1999-07
6301010;São Paulo (RM);Produto para unha;427;103;1991-01 a 1999-07
3102009;São Paulo (RM);Utensílios de vidro e louça;427;103;1991-01 a 1999-07
3102014;São Paulo (RM);Copo de vidro;186;103;1991-01 a 1999-07
3201005;São Paulo (RM);Enceradeira;103;103;1991-01 a 1999-07
3201042;São Paulo (RM);Ozonizador;186;103;1991-01 a 1999-07
1112017;São Paulo (RM);Pão doce;427;103;1991-01 a 1999-07
1114001;São Paulo (RM);Suco de frutas;427;103;1991-01 a 1999-07
1112018;São Paulo (RM);Pão de forma;427;103;1991-01 a 1999-07
3201064;São Paulo (RM);Tanque elétrico para roupa;103;103;1991-01 a 1999-07
3102024;São Paulo (RM);Outros utensílios de metal;103;103;1991-01 a 1999-07
7302002;São Paulo (RM);Assinatura de jornal;103;103;1991-01 a 1999-07
3102005;São Paulo (RM);Tapete;427;103;1991-01 a 1999-07
1103029;São Paulo (RM);Vagem;103;103;1991-01 a 1999-07
7202045;São Paulo (RM);Fósforos;103;103;1991-01 a 1999-07
7301004;São Paulo (RM);Livros didáticos;103;103;1991-01 a 1999-07
7301020;São Paulo (RM);Livros e revistas técnicas;103;103;1991-01 a 1999-07
4103008;São Paulo (RM);Bermuda/short infantil;427;102;"1991-01 a 1993-12; 2006-07 a 2011-12"
1103026;São Paulo (RM);Pimentão;427;96;2012-01 a 2019-12
1102023;São Paulo (RM);Farinha de mandioca;427;96;2012-01 a 2019-12
4201004;São Paulo (RM);Sapato infantil;427;96;2012-01 a 2019-12
1108085;São Paulo (RM);Peixe - mapará;96;96;2012-01 a 2019-12
1108112;São Paulo (RM);Peixe - pintado;96;96;2012-01 a 2019-12
1108080;São Paulo (RM);Peixe - tilápia;175;96;2012-01 a 2019-12
1108054;São Paulo (RM);Peixe - piau;96;96;2012-01 a 2019-12
1108052;São Paulo (RM);Peixe - palombeta;96;96;2012-01 a 2019-12
3301044;São Paulo (RM);Manutenção de microcomputador;96;96;2012-01 a 2019-12
1106015;São Paulo (RM);Limão;361;96;2012-01 a 2019-12
1107011;São Paulo (RM);Mocotó de boi;96;96;2012-01 a 2019-12
1101075;São Paulo (RM);Feijão - branco;96;96;2012-01 a 2019-12
8104001;São Paulo (RM);Curso preparatório;241;96;2012-01 a 2019-12
