CODIGO;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
1108125;Peixe - aruanã;76;76;2020-01 a 2026-04
1114003;Polpa de fruta (congelada);76;76;2020-01 a 2026-04
1108052;Peixe - palombeta;76;76;2020-01 a 2026-04
2104015;Sabão em barra;321;76;2020-01 a 2026-04
2103038;Madeira e taco;76;76;2020-01 a 2026-04
2103039;Cimento;238;76;2020-01 a 2026-04
1106021;Melancia;423;76;2020-01 a 2026-04
1103025;Pepino;261;76;2020-01 a 2026-04
1107208;Picanha;76;76;2020-01 a 2026-04
1104067;Açúcar demerara;76;76;2020-01 a 2026-04
2104019;Sabão líquido;76;76;2020-01 a 2026-04
2104045;Filtro de papel para café;102;67;1994-01 a 1999-07
1115075;Atum em conserva;423;67;1994-01 a 1999-07
1114087;Vinho;261;67;1994-01 a 1999-07
1113014;Azeite de oliva;321;66;2006-07 a 2011-12
1111009;Leite em pó;423;66;2006-07 a 2011-12
1108025;Peixe - linguado;66;66;2006-07 a 2011-12
2103041;Material hidráulico;238;66;2006-07 a 2011-12
1104028;Gelatina de frutas em pó;149;66;2006-07 a 2011-12
1106023;Pera;423;66;2006-07 a 2011-12
1101084;Fava;66;66;2006-07 a 2011-12
1103021;Chuchu;251;66;2006-07 a 2011-12
1115059;Cogumelo em conserva;66;66;2006-07 a 2011-12
1105012;Cheiro-verde;423;66;2006-07 a 2011-12
1106034;Ameixa;149;66;2006-07 a 2011-12
1107010;Outras vísceras;66;66;2006-07 a 2011-12
1116095;Molho de soja;66;66;2006-07 a 2011-12
2101003;Imposto predial;185;43;"1991-01 a 1991-07; 1991-09 a 1994-01; 1994-07 a 1995-01"
1104024;Bombons;185;35;"1991-01 a 1991-07; 1991-09 a 1993-12"
1115004;Coco ralado;281;35;"1991-01 a 1991-07; 1991-09 a 1993-12"
2202;Energia elétrica residencial;423;19;"1991-03 a 1991-05; 1994-08 a 1995-11"
2101004;Taxa de água e esgoto;423;16;"1991-03 a 1991-04; 1994-08 a 1995-05; 1995-09 a 1995-12"
2201004;Gás de botijão;423;12;"1991-03 a 1991-04; 1994-09; 1994-12; 1995-02 a 1995-05; 1995-09 a 1995-12"
2201;Combustíveis (domésticos);423;12;"1991-03 a 1991-04; 1994-09; 1994-12; 1995-02 a 1995-05; 1995-09 a 1995-12"
22;Combustíveis e energia;423;11;"1991-03 a 1991-04; 1994-09; 1994-12; 1995-02 a 1995-05; 1995-09 a 1995-11"
1106027;Tangerina;423;8;"1991-01 a 1991-02; 1993-01 a 1993-02; 1994-01 a 1994-02; 1995-01 a 1995-02"
1201009;Cafezinho;423;2;"1995-02; 1995-08"
1101002;Arroz;423;1;1994-12
1107088;Alcatra;423;1;1995-12
1;Alimentação e bebidas;423;1;1994-09
2101001;Aluguel residencial;423;1;1991-04
1201048;Cerveja;423;1;1995-06
