"Tabela 651 - INPC - Variação acumulada no ano, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de agosto/1999 até junho/2006)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108051.Peixe - traíra";"-5,87";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108053.Peixe - piramutaba";"11,08";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108057.Peixe - surubim";"-7,21";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108058.Peixe - albacora";"-1,92";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108065.Ostra";"-1,79";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108076.Peixe - acará";"15,55";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1108088.Peixe - dourada";"-3,67";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109.Carnes e peixes industrializados";"6,78";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109002.Presunto";"3,19";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109004.Bacon";"-1,18";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109007.Salsicha e salsichão";"5,04";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109008.Linguiça";"2,14";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109009.Chouriço e paio";"3,87";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109010.Mortadela";"3,43";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109012.Salame e salaminho";"-0,66";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109023.Bacalhau";"60,49";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109024.Camarão seco salgado";"21,01";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109056.Carne seca";"3,12";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109058.Carne de porco salgada e defumada";"24,23";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1109088.Carne de hambúrguer";"-0,66";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1110.Aves e ovos";"1,49";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1110003.Peru";"10,27";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1110009.Frango";"-1,14";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1110011.Peito de frango";"-5,74";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1110012.Coxa de frango";"-2,79";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1110014.Asa de frango";"0,67";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1110044.Ovo de galinha";"9,08";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111.Leites e derivados";"12,71";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111004.Leite pasteurizado";"14,44";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111008.Leite condensado";"0,06";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111009.Leite em pó";"9,51";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111012.Creme de leite";"0,21";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111019.Iogurte";"0,71";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111021.Queijo cremoso";"0,25";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111023.Queijo-de-minas";"9,72";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111024.Queijo prato";"15,37";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111025.Queijo parmesão";"0,56";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111026.Queijo muzzarella";"14,55";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111031.Manteiga";"8,68";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111038.Leite fermentado";"0,46";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1111046.Nata";"-1,85";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112.Panificados";"9,27";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112003.Biscoito";"10,44";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112012.Pão de milho";"3,51";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112015.Pão francês";"9,36";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112017.Pão doce";"7,83";"%"
