"Tabela 2951 - INPC - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115004.Coco ralado";"1,13";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115008.Feijoada em conserva";"-5,32";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115013.Alimento infantil";"6,63";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115016.Palmito em conserva";"3,43";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115039.Sardinha em conserva";"0,76";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115050.Salsicha em conserva";"-2,16";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115051.Carne em conserva";"-1,02";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115053.Patê";"4,59";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115056.Sopa desidratada";"0,02";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115057.Azeitona";"0,07";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115058.Milho-verde em conserva";"0,04";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1115075.Atum em conserva";"0,62";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116.Sal e condimentos";"1,20";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116005.Atomatado";"0,34";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116010.Alho";"6,05";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116013.Sal refinado";"1,27";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116026.Fermento";"-1,26";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116033.Maionese";"-0,27";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116041.Vinagre";"-0,88";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116048.Caldo concentrado";"-1,67";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116071.Tempero misto";"0,61";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1116095.Molho de soja";"-0,44";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"12.Alimentação fora do domicílio";"0,15";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201.Alimentação fora do domicílio";"0,15";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201001.Refeição";"-0,05";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201003.Lanche";"0,53";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201005.Café da manhã";"0,18";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201007.Refrigerante e água mineral";"0,28";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201009.Cafezinho";"1,00";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201048.Cerveja";"-0,03";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201049.Chopp";"1,29";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201051.Outras bebidas alcoólicas";"0,44";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"1201061.Doces";"0,15";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2.Habitação";"-0,03";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"21.Encargos e manutenção";"0,19";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2101.Aluguel e taxas";"0,27";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2101001.Aluguel residencial";"0,18";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2101002.Condomínio";"0,67";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2101004.Taxa de água e esgoto";"0,32";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103.Reparos";"0,29";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103008.Material de eletricidade";"1,72";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103009.Material de pintura";"-1,78";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103014.Tinta";"0,69";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103022.Vitrificação (sinteco, poliuretano)";"0,30";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103031.Ferramentas";"1,51";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103032.Azulejo e piso";"0,51";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103039.Cimento";"0,97";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103040.Tijolo";"-0,24";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103041.Material hidráulico";"-0,12";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103042.Mão de obra";"0,00";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2103048.Areia";"0,29";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104.Artigos de limpeza";"-0,43";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104002.Vassoura";"0,81";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104005.Água sanitária";"-0,73";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104008.Detergente";"0,87";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104009.Sabão em pó";"-0,57";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104012.Desinfetante";"0,30";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104013.Inseticida";"-0,13";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104014.Cera para assoalho";"-0,09";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104015.Sabão em barra";"-0,78";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104016.Esponja de limpeza";"-1,24";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104025.Lata de lixo";"-5,45";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2104032.Amaciante, alvejante";"-0,20";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"22.Combustíveis e energia";"-0,33";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2201.Combustíveis (domésticos)";"0,45";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2201003.Carvão vegetal";"0,07";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2201004.Gás de botijão";"0,46";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2201005.Gás encanado";"-0,04";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2202.Energia elétrica residencial";"-0,70";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"2202003.Energia elétrica residencial";"-0,70";"%"
