"Tabela 7063 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Geral, grupo, subgrupo, item e subitem";"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Variável";""
"Índice geral";"RM";"3501";"São Paulo (SP)";"setembro 2021";"INPC - Variação mensal";"1,10";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"outubro 2021";"INPC - Variação mensal";"1,32";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"novembro 2021";"INPC - Variação mensal";"0,77";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"dezembro 2021";"INPC - Variação mensal";"0,60";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"janeiro 2022";"INPC - Variação mensal";"0,88";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"fevereiro 2022";"INPC - Variação mensal";"1,05";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"março 2022";"INPC - Variação mensal";"1,58";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"abril 2022";"INPC - Variação mensal";"0,98";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"maio 2022";"INPC - Variação mensal";"0,30";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"junho 2022";"INPC - Variação mensal";"0,64";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"julho 2022";"INPC - Variação mensal";"0,38";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"agosto 2022";"INPC - Variação mensal";"0,04";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"setembro 2022";"INPC - Variação mensal";"-0,39";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"outubro 2022";"INPC - Variação mensal";"0,48";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"novembro 2022";"INPC - Variação mensal";"0,37";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"dezembro 2022";"INPC - Variação mensal";"0,69";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"janeiro 2023";"INPC - Variação mensal";"0,54";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"fevereiro 2023";"INPC - Variação mensal";"0,80";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"março 2023";"INPC - Variação mensal";"0,48";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"abril 2023";"INPC - Variação mensal";"0,54";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"maio 2023";"INPC - Variação mensal";"0,39";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"junho 2023";"INPC - Variação mensal";"-0,09";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"julho 2023";"INPC - Variação mensal";"-0,28";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"agosto 2023";"INPC - Variação mensal";"0,18";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"setembro 2023";"INPC - Variação mensal";"0,13";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"outubro 2023";"INPC - Variação mensal";"0,06";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"novembro 2023";"INPC - Variação mensal";"0,17";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"dezembro 2023";"INPC - Variação mensal";"0,47";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"janeiro 2024";"INPC - Variação mensal";"0,31";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"fevereiro 2024";"INPC - Variação mensal";"0,89";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"março 2024";"INPC - Variação mensal";"0,10";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"abril 2024";"INPC - Variação mensal";"0,33";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"maio 2024";"INPC - Variação mensal";"0,33";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"junho 2024";"INPC - Variação mensal";"0,38";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"julho 2024";"INPC - Variação mensal";"0,35";"%"
