"Tabela 1100 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável";""
"BR";"1";"Brasil";"janeiro 2012";"1108009.Peixe - pescadinha";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108011.Peixe - tainha";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108012.Peixe - sardinha";"INPC - Variação mensal";"2,11";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108013.Camarão";"INPC - Variação mensal";"1,44";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108015.Peixe - vermelho";"INPC - Variação mensal";"7,18";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108019.Peixe - cavala";"INPC - Variação mensal";"-0,10";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108028.Peixe - dourado";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108031.Peixe - merluza";"INPC - Variação mensal";"-4,71";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108032.Peixe - serra";"INPC - Variação mensal";"11,57";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108038.Peixe - pescada";"INPC - Variação mensal";"12,21";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108049.Peixe - castanha";"INPC - Variação mensal";"5,11";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108052.Peixe - palombeta";"INPC - Variação mensal";"0,49";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108054.Peixe - piau";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108072.Peixe - curimatã";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108080.Peixe - tilápia";"INPC - Variação mensal";"0,93";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108085.Peixe - mapará";"INPC - Variação mensal";"6,82";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108087.Peixe - tambaqui";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108088.Peixe - dourada";"INPC - Variação mensal";"13,38";"%"
"BR";"1";"Brasil";"janeiro 2012";"1108112.Peixe - pintado";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109.Carnes e peixes industrializados";"INPC - Variação mensal";"0,17";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109002.Presunto";"INPC - Variação mensal";"0,20";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109007.Salsicha";"INPC - Variação mensal";"1,26";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109008.Linguiça";"INPC - Variação mensal";"-0,44";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109010.Mortadela";"INPC - Variação mensal";"-0,02";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109012.Salame";"INPC - Variação mensal";"1,06";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109056.Carne-seca e de sol";"INPC - Variação mensal";"0,06";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109058.Carne de porco salgada e defumada";"INPC - Variação mensal";"3,02";"%"
"BR";"1";"Brasil";"janeiro 2012";"1109088.Hambúrger";"INPC - Variação mensal";"2,30";"%"
"BR";"1";"Brasil";"janeiro 2012";"1110.Aves e ovos";"INPC - Variação mensal";"-0,04";"%"
